created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2020-06-26 09:46:52 UTC,1,29.5,108,,,,,
2020-06-26 09:47:12 UTC,2,29.5,108,,,,,
2020-06-26 09:47:28 UTC,3,29.5,108,,,,,
2020-06-26 09:47:44 UTC,4,29.5,108,,,,,
2020-06-26 09:48:00 UTC,5,29.5,108,,,,,
2020-06-26 09:48:16 UTC,6,29.5,134,,,,,
2020-06-26 09:48:32 UTC,7,29.5,136,,,,,
2020-06-26 09:48:47 UTC,8,29.5,110,,,,,
2020-06-26 09:49:03 UTC,9,29.5,86,,,,,
2020-06-26 09:49:19 UTC,10,29.6,204,,,,,
2020-06-26 09:49:36 UTC,11,29.6,204,,,,,
2020-06-26 09:49:52 UTC,12,29.5,204,,,,,
2020-06-26 09:50:08 UTC,13,29.5,174,,,,,
2020-06-26 09:50:24 UTC,14,29.5,106,,,,,
2020-06-26 09:50:40 UTC,15,29.5,108,,,,,
2020-06-26 09:50:56 UTC,16,29.5,106,,,,,
2020-06-26 09:51:12 UTC,17,29.5,108,,,,,
2020-06-26 09:51:28 UTC,18,29.5,108,,,,,
2020-06-26 09:54:49 UTC,19,29.5,53,106,,,,
2020-06-26 09:55:05 UTC,20,29.5,54,108,,,,
2020-06-26 09:55:21 UTC,21,29.4,55,110,,,,
2020-06-26 09:55:37 UTC,22,29.4,43,86,,,,
2020-06-26 09:55:53 UTC,23,29.4,1,2,,,,
2020-06-26 09:56:09 UTC,24,29.4,59,118,,,,
2020-06-26 09:56:25 UTC,25,29.4,64,128,,,,
2020-06-26 09:56:40 UTC,26,29.4,66,132,,,,
2020-06-26 09:56:56 UTC,27,29.4,62,124,,,,
2020-06-26 09:57:11 UTC,28,29.4,54,108,,,,
2020-06-26 09:57:27 UTC,29,29.4,54,108,,,,
2020-06-26 09:57:43 UTC,30,29.4,73,146,,,,
2020-06-26 09:57:59 UTC,31,29.4,54,108,,,,
2020-06-26 09:58:15 UTC,32,29.4,54,108,,,,
2020-06-26 09:58:31 UTC,33,29.4,55,110,,,,
2020-06-26 09:58:47 UTC,34,29.4,54,108,,,,
2020-06-26 09:59:03 UTC,35,29.4,54,108,,,,
2020-06-26 09:59:19 UTC,36,29.4,54,108,,,,
2020-06-26 09:59:35 UTC,37,29.4,54,108,,,,
2020-06-26 09:59:52 UTC,38,29.4,55,110,,,,
2020-06-26 10:00:08 UTC,39,29.4,54,108,,,,
2020-06-26 10:00:24 UTC,40,29.4,54,108,,,,
2020-06-26 10:00:40 UTC,41,29.4,54,108,,,,
2020-06-26 10:00:56 UTC,42,29.5,54,108,,,,
2020-06-26 10:01:12 UTC,43,29.5,54,108,,,,
2020-06-26 10:01:28 UTC,44,29.5,54,108,,,,
2020-06-26 10:02:42 UTC,45,29.5,54,81,,,,
2020-06-26 10:02:58 UTC,46,29.5,54,81,,,,
2020-06-26 10:03:14 UTC,47,29.5,54,81,,,,
2020-06-26 10:03:30 UTC,48,29.4,53,79,,,,
2020-06-26 10:03:46 UTC,49,29.4,54,81,,,,
2020-06-26 10:04:02 UTC,50,29.4,102,153,,,,
2020-06-26 10:04:18 UTC,51,29.4,79,118,,,,
2020-06-26 10:04:34 UTC,52,29.4,1,1,,,,
2020-06-26 10:04:50 UTC,53,29.4,102,153,,,,
2020-06-26 10:05:05 UTC,54,29.4,48,72,,,,
2020-06-26 10:05:21 UTC,55,29.4,54,81,,,,
2020-06-26 10:05:38 UTC,56,29.5,54,81,,,,
2020-06-26 10:05:54 UTC,57,29.5,54,81,,,,
2020-06-26 10:06:10 UTC,58,29.5,53,79,,,,
2020-06-26 10:06:26 UTC,59,29.5,54,81,,,,
2020-06-26 10:06:42 UTC,60,29.5,102,153,,,,
2020-06-26 10:06:58 UTC,61,29.5,81,121,,,,
2020-06-26 10:07:14 UTC,62,29.4,53,79,,,,
2020-06-26 10:07:30 UTC,63,29.4,55,82,,,,
2020-06-26 10:07:46 UTC,64,29.4,102,153,,,,
2020-06-26 10:08:02 UTC,65,29.4,45,67,,,,
2020-06-26 10:08:17 UTC,66,29.4,71,106,,,,
2020-06-26 10:08:33 UTC,67,29.4,87,130,,,,
2020-06-26 10:08:49 UTC,68,29.4,55,82,,,,
2020-06-26 10:09:05 UTC,69,29.4,54,81,,,,
2020-06-26 10:09:21 UTC,70,29.4,54,81,,,,
2020-06-26 10:09:37 UTC,71,29.5,54,81,,,,
2020-06-26 10:09:53 UTC,72,29.5,54,81,,,,
2020-06-26 10:10:09 UTC,73,29.5,53,79,,,,
2020-06-26 10:10:26 UTC,74,29.5,54,81,,,,
2020-06-26 10:10:42 UTC,75,29.5,54,81,,,,
2020-06-26 10:10:58 UTC,76,29.5,53,79,,,,
2020-06-26 10:11:14 UTC,77,29.4,54,81,,,,
2020-06-26 10:11:30 UTC,78,29.4,54,81,,,,
2020-06-26 10:11:46 UTC,79,29.5,57,85,,,,
2020-06-26 10:12:03 UTC,80,29.5,54,81,,,,
2020-06-26 10:12:19 UTC,81,29.5,54,81,,,,
2020-06-26 10:12:35 UTC,82,29.5,53,79,,,,
2020-06-26 10:12:51 UTC,83,29.5,55,82,,,,
2020-06-26 10:13:07 UTC,84,29.5,54,81,,,,
2020-06-26 10:13:23 UTC,85,29.6,56,84,,,,
2020-06-26 10:13:40 UTC,86,29.5,54,81,,,,
2020-06-26 10:13:56 UTC,87,29.6,44,66,,,,
2020-06-26 10:14:43 UTC,88,29.6,46,69,,,,
2020-06-26 10:14:59 UTC,89,29.5,54,81,,,,
2020-06-26 10:15:15 UTC,90,29.5,55,82,,,,
2020-06-26 10:15:51 UTC,91,29.5,54,81,,,,
2020-06-26 10:16:06 UTC,92,29.5,78,117,,,,
2020-06-26 10:16:22 UTC,93,29.4,71,106,,,,
2020-06-26 10:16:37 UTC,94,29.4,54,81,,,,
2020-06-26 10:16:52 UTC,95,29.5,102,153,,,,
2020-06-26 10:17:08 UTC,96,29.5,50,75,,,,
2020-06-26 10:17:23 UTC,97,29.5,48,72,,,,
2020-06-26 10:17:39 UTC,98,29.5,63,94,,,,
2020-06-26 10:17:54 UTC,99,29.5,52,78,,,,
2020-06-26 10:18:10 UTC,100,29.5,54,81,,,,
2020-06-26 10:18:25 UTC,101,29.5,54,81,,,,
2020-06-26 10:18:41 UTC,102,29.5,54,81,,,,
2020-06-26 10:18:56 UTC,103,29.5,54,81,,,,
2020-06-26 10:19:43 UTC,104,29.5,53,79,,,,
2020-06-26 10:19:58 UTC,105,29.4,53,79,,,,
2020-06-26 10:20:14 UTC,106,29.4,54,81,,,,
2020-06-26 10:20:29 UTC,107,29.4,54,81,,,,
2020-06-26 10:20:45 UTC,108,29.4,54,81,,,,
2020-06-26 10:21:00 UTC,109,29.4,54,81,,,,
2020-06-26 10:21:16 UTC,110,29.4,0,0,,,,
2020-06-26 10:21:31 UTC,111,29.4,102,153,,,,
2020-06-26 10:21:47 UTC,112,29.4,0,0,,,,
2020-06-26 10:30:47 UTC,113,29.5,54,81,,,,
2020-06-26 10:31:02 UTC,114,29.4,54,81,,,,
2020-06-26 10:31:18 UTC,115,29.4,102,153,,,,
2020-07-14 06:35:41 UTC,116,26.8,54,81,,,,
2020-07-14 06:35:56 UTC,117,26.6,54,81,,,,
2020-07-14 06:36:11 UTC,118,26.6,54,81,,,,
2020-07-14 06:36:26 UTC,119,26.6,55,82,,,,
2020-07-14 06:36:42 UTC,120,26.6,1,1,,,,
2020-07-14 06:36:57 UTC,121,26.7,0,0,,,,
2020-07-14 06:37:13 UTC,122,26.9,93,139,,,,
2020-07-14 06:37:29 UTC,123,27.2,102,153,,,,
2020-07-14 06:37:45 UTC,124,27.4,52,78,,,,
2020-07-14 06:38:00 UTC,125,27.8,62,93,,,,
2020-07-14 06:38:16 UTC,126,28.1,57,85,,,,
2020-07-14 06:38:31 UTC,127,28.4,60,90,,,,
2020-07-14 06:38:47 UTC,128,28.6,73,109,,,,
2020-07-14 06:39:02 UTC,129,28.6,63,94,,,,
2020-07-14 06:39:18 UTC,130,28.6,26,39,,,,
2020-07-14 06:39:34 UTC,131,28.5,87,130,,,,
2020-07-14 06:39:49 UTC,132,28.4,102,153,,,,
2020-07-14 06:40:04 UTC,133,28.4,102,153,,,,
2020-07-14 06:40:19 UTC,134,28.4,71,106,,,,
2020-07-14 06:40:38 UTC,135,28.4,39,58,,,,
2020-07-14 06:40:54 UTC,136,28.4,48,72,,,,
2020-07-14 06:41:09 UTC,137,28.3,57,85,,,,
2020-07-14 06:41:25 UTC,138,28.3,0,0,,,,
2020-07-14 06:41:40 UTC,139,28.2,102,153,,,,
2020-07-14 06:41:56 UTC,140,28.2,0,0,,,,
2020-07-14 06:42:11 UTC,141,28,30,45,,,,
2020-07-14 06:42:27 UTC,142,28,55,82,,,,
2020-07-14 06:42:42 UTC,143,28,84,126,,,,
2020-07-14 06:42:58 UTC,144,28,58,87,,,,
2020-07-14 06:43:14 UTC,145,28,65,97,,,,
2020-07-14 06:43:29 UTC,146,27.9,67,100,,,,
2020-07-14 06:43:44 UTC,147,27.9,72,108,,,,
2020-07-14 06:44:00 UTC,148,27.9,58,87,,,,
2020-07-14 06:44:16 UTC,149,28,53,79,,,,
2020-07-14 06:44:31 UTC,150,28,71,106,,,,
2020-07-14 06:44:47 UTC,151,28,72,108,,,,
2020-07-14 06:45:02 UTC,152,28,84,126,,,,
2020-07-14 06:45:17 UTC,153,28,80,120,,,,
2020-07-14 06:45:33 UTC,154,28,63,94,,,,
2020-07-14 06:45:48 UTC,155,28,69,103,,,,
2020-07-14 06:46:04 UTC,156,27.9,2,3,,,,
2020-07-14 06:46:20 UTC,157,27.9,58,87,,,,
2020-07-14 06:46:35 UTC,158,28,54,81,,,,
2020-07-14 06:46:50 UTC,159,27.9,75,112,,,,
2020-07-14 06:47:06 UTC,160,28,77,115,,,,
2020-07-14 06:47:21 UTC,161,28,53,79,,,,
2020-07-14 06:47:37 UTC,162,28,102,153,,,,
2020-07-14 06:47:52 UTC,163,28,1,1,,,,
2020-07-14 06:48:08 UTC,164,28,54,81,,,,
2020-07-14 06:48:23 UTC,165,28.1,54,81,,,,
2020-07-14 06:48:39 UTC,166,28.1,54,81,,,,
2020-07-14 06:48:54 UTC,167,28.2,50,75,,,,
2020-07-14 06:49:10 UTC,168,28.2,55,82,,,,
2020-07-14 06:49:26 UTC,169,28.2,55,82,,,,
2020-07-14 06:49:42 UTC,170,28.2,41,61,,,,
